filename,label,named_label
0.png,5,5 - five
1.png,0,0 - zero
2.png,4,4 - four
3.png,1,1 - one
4.png,9,9 - nine
5.png,2,2 - two
6.png,1,1 - one
7.png,3,3 - three
8.png,1,1 - one
9.png,4,4 - four
10.png,3,3 - three
11.png,5,5 - five
12.png,3,3 - three
13.png,6,6 - six
14.png,1,1 - one
15.png,7,7 - seven
16.png,2,2 - two
17.png,8,8 - eight
18.png,6,6 - six
19.png,9,9 - nine
20.png,4,4 - four
21.png,0,0 - zero
22.png,9,9 - nine
23.png,1,1 - one
24.png,1,1 - one
25.png,2,2 - two
26.png,4,4 - four
27.png,3,3 - three
28.png,2,2 - two
29.png,7,7 - seven
30.png,3,3 - three
31.png,8,8 - eight
32.png,6,6 - six
33.png,9,9 - nine
34.png,0,0 - zero
35.png,5,5 - five
36.png,6,6 - six
37.png,0,0 - zero
38.png,7,7 - seven
39.png,6,6 - six
40.png,1,1 - one
41.png,8,8 - eight
42.png,7,7 - seven
43.png,9,9 - nine
44.png,3,3 - three
45.png,9,9 - nine
46.png,8,8 - eight
47.png,5,5 - five
48.png,9,9 - nine
49.png,3,3 - three
50.png,3,3 - three
51.png,0,0 - zero
52.png,7,7 - seven
53.png,4,4 - four
54.png,9,9 - nine
55.png,8,8 - eight
56.png,0,0 - zero
57.png,9,9 - nine
58.png,4,4 - four
59.png,1,1 - one
60.png,4,4 - four
61.png,4,4 - four
62.png,6,6 - six
63.png,0,0 - zero
64.png,4,4 - four
65.png,5,5 - five
66.png,6,6 - six
67.png,1,1 - one
68.png,0,0 - zero
69.png,0,0 - zero
70.png,1,1 - one
71.png,7,7 - seven
72.png,1,1 - one
73.png,6,6 - six
74.png,3,3 - three
75.png,0,0 - zero
76.png,2,2 - two
77.png,1,1 - one
78.png,1,1 - one
79.png,7,7 - seven
80.png,9,9 - nine
81.png,0,0 - zero
82.png,2,2 - two
83.png,6,6 - six
84.png,7,7 - seven
85.png,8,8 - eight
86.png,3,3 - three
87.png,9,9 - nine
88.png,0,0 - zero
89.png,4,4 - four
90.png,6,6 - six
91.png,7,7 - seven
92.png,4,4 - four
93.png,6,6 - six
94.png,8,8 - eight
95.png,0,0 - zero
96.png,7,7 - seven
97.png,8,8 - eight
98.png,3,3 - three
99.png,1,1 - one
100.png,5,5 - five
101.png,7,7 - seven
102.png,1,1 - one
103.png,7,7 - seven
104.png,1,1 - one
105.png,1,1 - one
106.png,6,6 - six
107.png,3,3 - three
108.png,0,0 - zero
109.png,2,2 - two
110.png,9,9 - nine
111.png,3,3 - three
112.png,1,1 - one
113.png,1,1 - one
114.png,0,0 - zero
115.png,4,4 - four
116.png,9,9 - nine
117.png,2,2 - two
118.png,0,0 - zero
119.png,0,0 - zero
120.png,2,2 - two
121.png,0,0 - zero
122.png,2,2 - two
123.png,7,7 - seven
124.png,1,1 - one
125.png,8,8 - eight
126.png,6,6 - six
127.png,4,4 - four
128.png,1,1 - one
129.png,6,6 - six
130.png,3,3 - three
131.png,4,4 - four
132.png,5,5 - five
133.png,9,9 - nine
134.png,1,1 - one
135.png,3,3 - three
136.png,3,3 - three
137.png,8,8 - eight
138.png,5,5 - five
139.png,4,4 - four
140.png,7,7 - seven
141.png,7,7 - seven
142.png,4,4 - four
143.png,2,2 - two
144.png,8,8 - eight
145.png,5,5 - five
146.png,8,8 - eight
147.png,6,6 - six
148.png,7,7 - seven
149.png,3,3 - three
150.png,4,4 - four
151.png,6,6 - six
152.png,1,1 - one
153.png,9,9 - nine
154.png,9,9 - nine
155.png,6,6 - six
156.png,0,0 - zero
157.png,3,3 - three
158.png,7,7 - seven
159.png,2,2 - two
160.png,8,8 - eight
161.png,2,2 - two
162.png,9,9 - nine
163.png,4,4 - four
164.png,4,4 - four
